NAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Mehdi Baghdad,1.8542,155.0,72.0,Orthodox,1985.0,3.13,30.0,4.56,46.0,0.0,0.0,33.0,0.0
Melsik Baghdasaryan,1.7526,145.0,70.0,Southpaw,1992.0,6.8,64.0,3.8,53.0,0.0,0.0,75.0,0.0
Siyar Bahadurzada,1.8034,170.0,73.0,Orthodox,1984.0,2.91,40.0,3.23,49.0,1.32,61.0,62.0,0.3
Shamar Bailey,1.7526,155.0,75.0,Southpaw,1982.0,1.56,20.0,3.91,69.0,1.5,33.0,37.0,0.0
Bryan Baker,1.905,185.0,72.0,Orthodox,1985.0,1.78,52.0,2.83,45.0,0.44,50.0,37.0,0.9
Oluwale Bamgbose,1.8034,185.0,78.0,Switch,1987.0,2.45,48.0,2.7,55.0,0.94,33.0,37.0,0.0
Stephen Banaszak,1.8288,145.0,72.0,Orthodox,1990.0,4.2,47.0,1.15,66.0,0.0,0.0,100.0,1.9
Humberto Bandenay,1.8034,145.0,71.0,Southpaw,1994.0,2.22,41.0,4.79,41.0,2.9,46.0,62.0,0.5
Tae Hyun Bang,1.7526,155.0,71.0,Switch,1983.0,2.72,38.0,2.07,66.0,0.49,33.0,57.0,0.5
Renan Barao,1.6764,145.0,70.0,Orthodox,1987.0,3.78,36.0,3.9,57.0,1.49,41.0,91.0,0.5
Antonio Banuelos,1.651,135.0,63.0,Orthodox,1979.0,2.69,33.0,3.15,58.0,1.62,62.0,86.0,0.4
Maycee Barber,1.651,125.0,65.0,Switch,1998.0,6.02,60.0,3.15,49.0,0.95,30.0,80.0,0.3
Bryan Barberena,1.8288,170.0,72.0,Southpaw,1989.0,5.48,48.0,4.7,45.0,0.23,28.0,60.0,0.5
Raoni Barcelos,1.7018,135.0,67.0,Orthodox,1987.0,5.59,52.0,4.17,67.0,2.23,56.0,85.0,0.7
Luke Barnatt,1.9812,185.0,77.0,Orthodox,1988.0,4.43,36.0,3.87,59.0,0.63,42.0,63.0,0.4
Edson Barboza,1.8034,145.0,75.0,Orthodox,1986.0,3.98,43.0,4.03,60.0,0.44,44.0,78.0,0.1
Nick Barnes,1.8034,170.0,72.0,Orthodox,1984.0,2.86,29.0,8.93,51.0,5.36,100.0,100.0,5.4
David Baron,1.6764,155.0,72.0,Switch,1973.0,1.17,30.0,2.1,56.0,0.0,0.0,14.0,0.7
Dan Barrera,1.7526,170.0,72.0,Orthodox,1980.0,0.8,70.0,1.2,28.0,1.0,8.0,0.0,0.0
Phil Baroni,1.7526,170.0,72.0,Orthodox,1976.0,2.77,45.0,3.93,40.0,1.46,47.0,60.0,0.5
Josh Barnett,1.905,250.0,78.0,Orthodox,1977.0,3.2,50.0,2.11,57.0,1.26,55.0,55.0,1.4
Peter Barrett,1.778,145.0,73.0,Southpaw,1986.0,4.18,61.0,4.32,42.0,1.39,22.0,66.0,0.0
Marc-Andre Barriault,1.8542,185.0,74.0,Orthodox,1990.0,4.25,46.0,4.12,57.0,0.55,28.0,69.0,0.0
Francimar Barroso,1.8542,205.0,75.0,Orthodox,1980.0,2.77,52.0,3.07,59.0,2.22,24.0,83.0,0.0
Enrique Barzola,1.7018,145.0,70.0,Orthodox,1989.0,3.91,41.0,2.97,68.0,4.2,45.0,66.0,0.3
Pat Barry,1.8034,235.0,74.0,Orthodox,1979.0,2.72,52.0,3.54,59.0,0.0,0.0,76.0,0.2
Alexandre Barros,1.7526,170.0,72.0,Southpaw,1976.0,0.98,40.0,4.05,36.0,1.84,50.0,100.0,0.0
Mario Bautista,1.7526,135.0,69.0,Switch,1993.0,6.19,45.0,4.96,58.0,0.6,33.0,57.0,0.0
Jeff Bedard,1.6764,145.0,72.0,Orthodox,1970.0,0.8,51.0,0.0,100.0,3.43,66.0,100.0,2.6
Shayna Baszler,1.7018,135.0,72.0,Orthodox,1980.0,2.49,30.0,6.36,51.0,0.67,18.0,44.0,1.3
Batgerel Danaa,1.7018,135.0,70.0,Orthodox,1989.0,5.66,38.0,2.61,58.0,0.0,0.0,57.0,0.0
Chris Beal,1.7018,125.0,69.0,Orthodox,1985.0,3.45,35.0,3.18,61.0,1.6,58.0,78.0,0.2
Chase Beebe,1.7018,135.0,67.0,Orthodox,1985.0,2.17,38.0,1.64,69.0,2.49,42.0,41.0,0.9
Alan Belcher,1.8796,185.0,75.0,Orthodox,1984.0,2.7,41.0,3.1,59.0,0.44,26.0,55.0,0.9
Diana Belbita,1.7018,125.0,68.0,Orthodox,1996.0,5.81,39.0,6.49,52.0,1.69,66.0,64.0,0.0
Johnny Bedford,1.778,135.0,71.0,Orthodox,1983.0,4.53,50.0,1.75,63.0,1.83,62.0,62.0,0.0
Lyle Beerbohm,1.778,155.0,72.0,Southpaw,1979.0,1.98,55.0,1.61,54.0,2.1,23.0,64.0,0.3
Joey Beltran,1.8542,185.0,75.0,Orthodox,1981.0,4.92,36.0,5.27,54.0,0.48,18.0,75.0,0.0
Danilo Belluardo,1.8288,155.0,74.0,Southpaw,1994.0,1.52,61.0,4.79,41.0,3.5,100.0,50.0,0.0
Vitor Belfort,1.8288,185.0,74.0,Southpaw,1977.0,1.59,46.0,2.83,50.0,1.02,60.0,53.0,0.6
Mirsad Bektic,1.7271999999999998,145.0,70.0,Orthodox,1991.0,2.43,41.0,1.8,57.0,3.98,52.0,92.0,0.4
Joseph Benavidez,1.6256,125.0,65.0,Southpaw,1984.0,3.54,34.0,2.62,62.0,1.48,30.0,65.0,0.6
Marco Beltran,1.7271999999999998,125.0,69.0,Orthodox,1986.0,2.07,37.0,1.93,63.0,0.7,50.0,46.0,0.2
Gabriel Benitez,1.7271999999999998,155.0,71.0,Southpaw,1988.0,4.38,38.0,3.26,70.0,0.17,50.0,56.0,1.2
DeAnna Bennett,1.6256,125.0,68.0,Orthodox,1984.0,3.13,58.0,3.27,58.0,0.0,0.0,0.0,1.0
Lance Benoist,1.8034,170.0,72.0,Southpaw,1988.0,3.68,51.0,2.7,56.0,1.5,33.0,61.0,0.0
Charles Bennett,1.7271999999999998,155.0,72.0,Orthodox,1979.0,1.39,39.0,1.35,64.0,2.02,100.0,36.0,2.0
Josh Bennett,1.9304,259.0,72.0,Orthodox,1984.0,2.9,40.0,5.8,43.0,1.5,100.0,100.0,0.0
Ryan Benoit,1.651,125.0,68.0,Orthodox,1989.0,2.95,41.0,3.4,60.0,0.33,25.0,70.0,0.5
Steve Berger,1.8034,170.0,72.0,Orthodox,1973.0,1.0,27.0,3.26,36.0,0.84,40.0,16.0,1.7
Manny Bermudez,1.778,145.0,71.0,Orthodox,1994.0,2.92,61.0,2.68,46.0,3.06,54.0,0.0,3.1
Dennis Bermudez,1.6764,155.0,66.0,Orthodox,1986.0,4.42,46.0,3.07,59.0,3.89,40.0,82.0,1.1
Bret Bergmark,1.7526,170.0,72.0,Orthodox,1973.0,2.78,52.0,2.78,37.0,4.17,100.0,50.0,4.2
Keith Berish,1.8288,205.0,72.0,Orthodox,1985.0,3.58,36.0,4.81,62.0,1.76,40.0,0.0,0.0
Talita Bernardo,1.6256,135.0,68.0,Orthodox,1987.0,3.12,42.0,4.04,55.0,1.62,22.0,28.0,0.5
Edson Berto,1.6764,155.0,72.0,Orthodox,1983.0,1.76,36.0,4.62,47.0,5.47,40.0,0.0,2.7
